date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:21	17700/17700	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Dec%202023%2006:37:02%20GMT	https://gharpayy.com/homes/assets/css/reset.css	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/css/reset.css	(from https://gharpayy.com/homes/style.css)
17:14:22	190465/190465	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Apr%202024%2001:20:51%20GMT	https://housing.com/news/wp-content/uploads/2022/11/shutterstock_1715891752-1200x700-compressed.jpg	C:/Users/CP/Desktop/GharPay/AyushGharPay/housing.com/news/wp-content/uploads/2022/11/shutterstock_1715891752-1200x700-compressed.jpg	(from https://gharpayy.com/homes/blog-details.html)
17:14:23	516835/516835	---M--	200	added ('OK')	image/jpeg	etag:%22f25498af7db3ee1a7e4b5dff2d359773%22	https://cdn.apartmenttherapy.info/image/upload/v1556716350/stock/8ea241e96504a398f291a31939963e8ba948368c.jpg	C:/Users/CP/Desktop/GharPay/AyushGharPay/cdn.apartmenttherapy.info/image/upload/v1556716350/stock/8ea241e96504a398f291a31939963e8ba948368c.jpg	(from https://gharpayy.com/homes/blog-details.html)
17:14:23	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2011:44:25%20GMT	https://gharpayy.com/homes/index-2.html	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/index-3.html	(from https://gharpayy.com/homes/about.html)
17:14:23	2120/2120	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Jul%202023%2015:27:56%20GMT	https://gharpayy.com/homes/assets/images/icons/users.svg	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/images/icons/users.svg	(from https://gharpayy.com/homes/about.html)
17:14:25	748566/748566	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2015:42:24%20GMT	https://gharpayy.com/homes/assets/images/breadcrumbs-bg.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/images/breadcrumbs-bg.png	(from https://gharpayy.com/homes/about.html)
17:14:26	123756/123756	---M--	200	added ('OK')	image/jpeg	etag:%2263fe17f3-1e36c%22	https://mccarthyrealty.ca/wp-content/uploads/2019/10/fmf_773.jpg	C:/Users/CP/Desktop/GharPay/AyushGharPay/mccarthyrealty.ca/wp-content/uploads/2019/10/fmf_773.jpg	(from https://gharpayy.com/homes/about.html)
17:14:26	179295/179295	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202023%2015:27:08%20GMT	https://gharpayy.com/homes/assets/images/about-us/about-2/about-overlay-img.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/images/about-us/about-2/about-overlay-img.png	(from https://gharpayy.com/homes/about.html)
17:14:27	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2011:44:29%20GMT	https://gharpayy.com/homes/blog-details	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/blog-details	(from https://gharpayy.com/homes/faq.html)
17:14:27	1551/1551	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202023%2022:29:42%20GMT	https://gharpayy.com/homes/assets/images/faq/shape-1.png	C:/Users/CP/Desktop/GharPay/AyushGharPay/gharpayy.com/homes/assets/images/faq/shape-1.png	(from https://gharpayy.com/homes/faq.html)
